GfK_Key,NB_NR,Product_Segment,Vendor,Model,CPU_G,GPU_G2,K_Unit,Current_OB_Key,Current_Status,Confirmed_OB_Key,Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5
HP HP Celeron GMA,NB,Vivobook Go,HP,HP,Celeron,GMA,2401.3298,HP HP 14 Intel Celeron N4500 Intel UHD Graphics,Manual-Fixed,HP HP 14 Intel Celeron N4500 Intel UHD Graphics,HP HP 17 (90),,,,
HP HP Core I3 GMA,NB,Vivobook Go,HP,HP,Core I3,GMA,848.3332,HP HP 17 Intel Core i3 1215U Intel UHD Graphics,Manual-Fixed,HP HP 17 Intel Core i3 1215U Intel UHD Graphics,HP HP 17 (90),,,,
HP HP Pentium GMA,NB,Vivobook Go,HP,HP,Pentium,GMA,2226.20517,HP HP 17 Intel Pentium Silver N6000 Intel UHD Graphics,Manual-Fixed,HP HP 17 Intel Pentium Silver N6000 Intel UHD Graphics,HP HP 17 (90),,,,
HP HP Ryzen 5 AMD Oth.,NB,Vivobook Go,HP,HP,Ryzen 5,AMD Oth.,727.27006,HP HP 15 AMD Ryzen 5 7520U AMD Radeon,Manual-Fixed,HP HP 15 AMD Ryzen 5 7520U AMD Radeon,HP HP 17 (90),HP HP 15 AMD Ryzen 5 5500U (90),,,
LENOVO IDEAPAD 1 Ryzen 5 AMD Oth.,NB,Vivobook Go,LENOVO,IDEAPAD 1,Ryzen 5,AMD Oth.,401.881,Lenovo IdeaPad 1 AMD Ryzen 5 5500U AMD Radeon,Auto-Mapped,Lenovo IdeaPad 1 AMD Ryzen 5 5500U AMD Radeon,Lenovo IdeaPad 1 AMD Ryzen 5 5500U AMD Radeon (88),,,,
HP OMNIBOOK 5 Core Ultra 7 GMA,NB,Vivobook S,HP,OMNIBOOK 5,Core Ultra 7,GMA,106.94769,HP OmniBook 5 Intel Core Ultra 7 258V,Auto-Mapped,HP OmniBook 5 Intel Core Ultra 7 258V,HP OmniBook 5 Intel Core Ultra 7 258V (95),HP OmniBook 5 Intel Core Ultra 7 265U AMD Radeon 740M (89) [GPU!],,HP OmniBook 5 Intel Core Ultra 7 255U Intel Graphics (88),
HP OMNIBOOK 5 Ryzen 7 AI AMD Oth.,NB,Vivobook S,HP,OMNIBOOK 5,Ryzen 7 AI,AMD Oth.,92.588,HP OmniBook 5 -,Auto-Mapped,,HP OmniBook 5 - (87),,,,
HP PAVILION Core 5 GMA,NB,Vivobook S,HP,PAVILION,Core 5,GMA,78.42097,HP Pavilion Intel Core i5 1335U Intel Iris Xe Graphics,Manual,,,,,,
LENOVO IDEAPAD 5 Ryzen 7 AMD Oth.,NB,Vivobook S,LENOVO,IDEAPAD 5,Ryzen 7,AMD Oth.,88.20698,Lenovo IdeaPad 5 AMD Ryzen 7 8845HS AMD Radeon 780M,Auto-Mapped,Lenovo IdeaPad 5 AMD Ryzen 7 8845HS AMD Radeon 780M,Lenovo IdeaPad 5 AMD Ryzen 7 8845HS AMD Radeon 780M (88),,,,
SAMSUNG GALAXY BOOK Core 7 GMA,NB,Vivobook S,SAMSUNG,GALAXY BOOK,Core 7,GMA,156.46298,Samsung Galaxy Book4 Intel Core 7 150U Intel Graphics,Manual-Fixed,Samsung Galaxy Book4 Intel Core 7 150U Intel Graphics,,,,,
APPLE MACBOOK AIR Apple M Apple I GPU,NB,Zenbook,APPLE,MACBOOK AIR,Apple M,Apple I GPU,12321.74982,Apple MacBook Air - M5 Apple M5 Apple 10-Core GPU,Auto-Mapped,Apple MacBook Air - M5 Apple M5 Apple 10-Core GPU,Apple MacBook Air - M5 Apple M5 Apple 10-Core GPU (87),Apple MacBook Air - M4 Apple M4 Apple 10-Core GPU (87),Apple MacBook Air - M2 Apple M2 Apple 10-Core GPU (87),Apple MacBook Air - M3 Apple M3 Apple 10-Core GPU (87),Apple MacBook Air - M5 Apple M5 Apple 8-Core GPU (87)
APPLE MACBOOK NEO Apple A zthers,NB,Zenbook,APPLE,MACBOOK NEO,Apple A,zthers,786.71557,Apple MacBook Neo - A18 Pro Apple A18 Pro Apple 5-Core GPU,Manual,Apple MacBook Neo - A18 Pro Apple A18 Pro Apple 5-Core GPU,,,,,
ASUS ZENBOOK Core Ultra 7 ARC,NB,Zenbook,ASUS,ZENBOOK,Core Ultra 7,ARC,96.17167,Asus ZenBook Duo Intel Core Ultra 7 255H Intel Arc Graphics,Auto-Mapped,Asus ZenBook Intel Core Ultra 7 258V Intel Arc Graphics 140V (95),,,Asus ZenBook Intel Core Ultra 7 258V Intel Arc Graphics 140V (95),,
MICROSOFT SURFACE LAPTOP X Elite zthers,NB,Zenbook,MICROSOFT,SURFACE LAPTOP,X Elite,zthers,133.62978,Microsoft Surface Laptop Qualcomm Snapdragon X Elite X1E-80-100 Qualcomm Adreno,Manual-Fixed,Microsoft Surface Laptop Qualcomm Snapdragon X Elite X1E-80-100 Qualcomm Adreno,,,Microsoft Surface Laptop Qualcomm Snapdragon X Elite X1E-80-100 Qualcomm Adreno (86),,Microsoft Surface Laptop Copilot+ Qualcomm Snapdragon X Elite X1E-78-100 Qualcomm Adreno (86)
MICROSOFT SURFACE LAPTOP X Plus zthers,NB,Zenbook,MICROSOFT,SURFACE LAPTOP,X Plus,zthers,219.17773,Microsoft Surface Laptop Qualcomm Snapdragon X Plus X1P-64-100 Qualcomm Adreno,Manual-Fixed,Microsoft Surface Laptop Qualcomm Snapdragon X Plus X1P-64-100 Qualcomm Adreno,,Microsoft Surface Laptop Qualcomm Snapdragon X Plus X1P-64-100 Qualcomm Adreno (86),,Microsoft Surface Laptop Copilot+ Qualcomm Snapdragon X Plus X1P-64-100 Qualcomm Adreno (86),
ACER PREDATOR HELIOS Core Ultra 9 RTX 5070 Ti,NR,Rog Strix,ACER,PREDATOR HELIOS,Core Ultra 9,RTX 5070 Ti,40.56623,Acer Predator Helios Neo Intel Core Ultra 9 275HX Nvidia GeForce RTX 5070 Ti,Auto-Mapped,Acer Predator Helios Neo Intel Core Ultra 9 275HX Nvidia GeForce RTX 5070 Ti,Acer Predator Helios Neo Intel Core Ultra 9 275HX Nvidia GeForce RTX 5070 Ti (95),,,,
ASUS ROG STRIX Core I7 RTX 4060,NR,Rog Strix,ASUS,ROG STRIX,Core I7,RTX 4060,55.55064,,No-Match-Confirmed,,,,,,
ASUS ROG STRIX Core I9 RTX 4060,NR,Rog Strix,ASUS,ROG STRIX,Core I9,RTX 4060,24.91372,Asus ROG Strix Intel Core i9 14900HX Nvidia GeForce RTX 4060,Auto-Mapped,Asus ROG Strix Intel Core i9 14900HX Nvidia GeForce RTX 4060,Asus ROG Strix Intel Core i9 14900HX Nvidia GeForce RTX 4060 (95),,,,
HP OMEN 16 Core I7 RTX 4060,NR,Rog Strix,HP,OMEN 16,Core I7,RTX 4060,57.39814,HP Omen Intel Core i7 14700HX Nvidia GeForce RTX 4060,Manual,HP Omen Intel Core i7 14700HX Nvidia GeForce RTX 4060,HP Omen Intel Core i7 14700HX Nvidia GeForce RTX 4060 (95),,,,HP Envy Intel Core i7 13700H Nvidia GeForce RTX 4060 (89) [LINE!]
